# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
BWP_Res_SG	10572	4.05269	3.67754	0.00662	0.92586	0.02120	0.00050	0.06998	0.03502	0.00065	0.93002	0.03502	0.00065	0.09489	0.02907	0.00059	0.90511	0.02907	0.00059	0.11748	0.04951	0.00077	0.09010	0.09156	0.00662
BWP_Mig_SG	41960	6.29864	21.79102	0.01215	0.82636	0.03573	0.00049	0.10055	0.05132	0.00059	0.89945	0.05132	0.00059	0.21553	0.04261	0.00054	0.78447	0.04261	0.00054	0.27169	0.08001	0.00074	0.33524	0.22566	0.01215
BWP_Mig_TH	21355	9.53969	40.63570	0.02082	0.92157	0.01899	0.00045	0.06607	0.02666	0.00053	0.93393	0.02666	0.00053	0.10656	0.02673	0.00053	0.89344	0.02673	0.00053	0.12366	0.04193	0.00067	0.14365	0.12319	0.02082
MP_Res_SG	22184	5.48852	13.95920	0.01268	0.96146	0.01183	0.00037	0.04774	0.02634	0.00055	0.95226	0.02634	0.00055	0.05044	0.01587	0.00043	0.94956	0.01587	0.00043	0.06431	0.03146	0.00060	0.03522	0.03944	0.01268
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
BWP_Res_SG	10572	17692433	83809	22579	0.12762	3.60916	4.62277	0.00051	0.99965	0.00013	0.00000	0.00033	0.00019	0.00000	0.99967	0.00019	0.00000	0.00045	0.00018	0.00000	0.99955	0.00018	0.00000	0.00056	0.00030	0.00000	0.00043	0.00047	0.00051
BWP_Mig_SG	41960	40629724	147554	91812	0.22597	4.26743	23.99966	0.00077	0.99937	0.00024	0.00000	0.00037	0.00022	0.00000	0.99963	0.00022	0.00000	0.00078	0.00032	0.00000	0.99922	0.00032	0.00000	0.00099	0.00056	0.00000	0.00122	0.00123	0.00077
BWP_Mig_TH	21355	62748723	93745	40617	0.06473	4.00734	26.16637	0.00065	0.99988	0.00004	0.00000	0.00010	0.00005	0.00000	0.99990	0.00005	0.00000	0.00016	0.00006	0.00000	0.99984	0.00006	0.00000	0.00018	0.00009	0.00000	0.00021	0.00021	0.00065
MP_Res_SG	22184	28986360	86781	16594	0.05725	3.57957	10.67043	0.00061	0.99988	0.00004	0.00000	0.00014	0.00009	0.00000	0.99986	0.00009	0.00000	0.00015	0.00006	0.00000	0.99985	0.00006	0.00000	0.00019	0.00011	0.00000	0.00011	0.00012	0.00061
