# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
BWP_Res_SG	7892	4.05588	3.70755	0.00663	0.93542	0.01936	0.00048	0.05829	0.03051	0.00060	0.94171	0.03051	0.00060	0.08209	0.02651	0.00056	0.91791	0.02651	0.00056	0.10255	0.04583	0.00074	0.08319	0.08339	0.00663
BWP_Mig_SG	30475	6.15982	22.02664	0.01200	0.84471	0.03512	0.00048	0.08613	0.04561	0.00055	0.91387	0.04561	0.00055	0.19211	0.04296	0.00053	0.80789	0.04296	0.00053	0.24260	0.07901	0.00072	0.30419	0.21434	0.01200
BWP_Mig_TH	15636	9.51595	41.13027	0.02085	0.93328	0.01720	0.00043	0.05449	0.02321	0.00050	0.94551	0.02321	0.00050	0.09012	0.02439	0.00051	0.90988	0.02439	0.00051	0.10539	0.03862	0.00064	0.12464	0.10892	0.02085
MP_Res_SG	11786	5.47881	14.07157	0.01267	0.96796	0.01020	0.00034	0.03965	0.02308	0.00051	0.96035	0.02308	0.00051	0.04162	0.01363	0.00039	0.95838	0.01363	0.00039	0.05388	0.02783	0.00056	0.03018	0.03351	0.01267
HP_Mig_SG	16563	2.19815	0.74621	0.00334	0.92658	0.02188	0.00057	0.07874	0.04128	0.00079	0.92126	0.04128	0.00079	0.09229	0.02995	0.00067	0.90771	0.02995	0.00067	0.12083	0.05531	0.00091	0.07093	0.07448	0.00334
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
BWP_Res_SG	7892	21087605	84309	19329	0.09166	4.00512	4.43908	0.00046	0.99974	0.00009	0.00000	0.00023	0.00014	0.00000	0.99977	0.00014	0.00000	0.00033	0.00013	0.00000	0.99967	0.00013	0.00000	0.00041	0.00023	0.00000	0.00033	0.00036	0.00046
BWP_Mig_SG	30475	47171006	152955	83189	0.17636	5.28431	25.79599	0.00074	0.99950	0.00019	0.00000	0.00028	0.00017	0.00000	0.99972	0.00017	0.00000	0.00062	0.00026	0.00000	0.99938	0.00026	0.00000	0.00079	0.00045	0.00000	0.00099	0.00099	0.00074
BWP_Mig_TH	15636	65127910	94643	34003	0.05221	4.67708	32.75540	0.00071	0.99990	0.00003	0.00000	0.00008	0.00004	0.00000	0.99992	0.00004	0.00000	0.00013	0.00005	0.00000	0.99987	0.00005	0.00000	0.00015	0.00007	0.00000	0.00018	0.00018	0.00071
MP_Res_SG	11786	30985729	87715	13533	0.04367	4.45502	13.80008	0.00067	0.99991	0.00003	0.00000	0.00011	0.00007	0.00000	0.99989	0.00007	0.00000	0.00012	0.00004	0.00000	0.99988	0.00004	0.00000	0.00015	0.00009	0.00000	0.00009	0.00010	0.00067
HP_Mig_SG	16563	19351735	66693	15578	0.08050	2.33421	0.73648	0.00020	0.99975	0.00009	0.00000	0.00027	0.00016	0.00000	0.99973	0.00016	0.00000	0.00032	0.00013	0.00000	0.99968	0.00013	0.00000	0.00042	0.00024	0.00000	0.00024	0.00027	0.00020
